         nl   nt   nr   sr   st   sl   el   et   er   wr   wt   wl
 16962    0    0    0    0    0    0    0    0    0    0    0    0
 16963    0    0    0    0    0    0    0    0    0    0    0    0
 16965    0    0    0    0    0    0    0    0    0    0    0    0
 16967    0  806    0  373 1333  288  320  100   10  483    0    0
 16968    0    0    0    0    0    0    0    0    0    0    0    0
 16969    0    0    0    0    0    0    0    0    0    0    0    0
 16970    0    0    0    0    0    0    0    0    0    0    0    0
 16972    0    0    0    0    0    0    0    0    0    0    0    0
 16973    0  608   19    0    0    0    0    0    0    0    0    0
 16974    0    0    0    0    0    0    0    0    0    0    0    0
 16975 1215  417  -70    0    0    0    0    0    0    0    0    0
 16976   28  722    0   17 1341    0   55    0  147    0    0    0
 16977  140 1356    0    0    0    0    0    0    0    0    0    0
 16979   27  286   28   82  189   91   52   53  124   65   29   27
 16980   38 1239   30   35 1872   89   81   93  131   55   48   79
 16981   12 1498  266    0    0    0   18   51    0  125   77    0
 16983    0    0    0    0    0    0    0    0    0    0    0    0
 16984    0    0    0    0    0    0    0    0    0    0    0    0
 16985    0 1233    1    0 1339  167  658  943  593    0    0    0
 16988    0    0    0    0    0    0    0    0    0    0    0    0
 16989    0    0    0    0    0    0    0    0    0    0    0    0
 16990  146 1529    0  118 1125    0    0    0    0  405 1159  239
 16991    0    0    0    0    0    0    0    0    0    0    0    0
 16992    0    0    0    0    0    0    0    0    0    0    0    0
 16993  218  562  236  104 1000   88  144  998  635   46  605  321
 17000    0    0    0    0    0    0    0    0    0    0    0    0
 17003  100    0    0    0    0    0    0    0   83    0    0    0
 17006   10    3   53  178    6  101  140 1236    6   48  844   43
 17007    0    0    0    0    0    0    0    0    0    0    0    0
 17008    0    0    0    0    0    0    0    0    0    0    0    0
 17009    0    0    0    0    0    0    0    0    0    0    0    0
 17027   14  143    0  753  305    0  617    0   26    0    0    0
 17030    9  708    0  248 1022    0  135    0    5    0    0    0
 17031  134    0  132  112    0  236  181   59  117  102  126  262
 17036    0    0    0    0    0    0    0    0    0    0    0    0
 17056    0    0    0    0    0    0    0    0    0    0    0    0
 17099    0    0    0    0    0    0    0    0    0    0    0    0
 17101    0    0    0    0    0    0    0    0    0    0    0    0
 17102    0    0    0    0    0    0    0    0    0    0    0    0
 17106    0    0    0    0    0    0    0    0    0    0    0    0
 17107    0    0    0    0    0    0    0    0    0    0    0    0
 17109    0    0    0    0    0    0    0    0    0    0    0    0
 17110  147   93    0  316  104    0    0    0    0   50 1337  123
 17111    0 1798  214    0 1807    0    0    0    0   58    0    0
 17112    0    0    0    0    0    0    0    0    0    0    0    0
 17114   97   13    0   -5   35    0    0    0    0   62 1681  274
 17116    0    0    0    0    0    0    0    0    0    0    0    0
 17117    0    0    0    0    0    0    0    0    0    0    0    0
 17118    0    0    0    0    0    0    0    0    0    0    0    0
 17121    0    0    0    0    0    0    0    0    0    0    0    0
 17123    0    0    0    0    0    0    0    0    0    0    0    0
 17125    0    0    0    0    0    0    0    0    0    0    0    0
 17126   89 1807    0   27 1435   73    0    0    0  106   44  122
 17128   32 1519  226   43 1537  241  101  217   80  370   76  103
 17132    0    0    0    0    0    0    0    0    0    0    0    0
 17133    0    0    0    0    0    0    0    0    0    0    0    0
 17134    0    0    0    0    0    0    0    0    0    0    0    0
 17135    0    0    0    0    0    0    0    0    0    0    0    0
 17136    0    0    0    0    0    0    0    0    0    0    0    0
 17137  293 1411  343  313 1810  402  145  463  132  526  298  -33
 17138    0    0    0    0    0    0    0    0    0    0    0    0
 17140    0    0    0    0    0    0    0    0    0    0    0    0
 17143    0    0    0    0    0    0    0    0    0    0    0    0
 17144    0    0    0    0    0    0    0    0    0    0    0    0
 17145    0    0    0    0    0    0    0    0    0    0    0    0
 17151    0    0    0    0    0    0    0    0    0    0    0    0
 17156    0    0    0    0    0    0    0    0    0    0    0    0
 17157    0    0    0    0    0    0    0    0    0    0    0    0
 17160    0    0    0    0    0    0    0    0    0    0    0    0
 17164    0    0    0    0    0    0    0    0    0    0    0    0
 17166    0    0    0    0    0    0    0    0    0    0    0    0
 17167    0    0    0    0    0    0    0    0    0    0    0    0
 17169    0    0    0    0    0    0    0    0    0    0    0    0
 17174    0    0    0    0    0    0    0    0    0    0    0    0
 17176    0    0    0    0    0    0    0    0    0    0    0    0
 17178    0    0    0    0    0    0    0    0    0    0    0    0
 17181    0    0    0    0    0    0    0    0    0    0    0    0
 17182    0    0    0    0    0    0    0    0    0    0    0    0
 17183    0    0    0    0    0    0    0    0    0    0    0    0
 17185    0    0    0    0    0    0    0    0    0    0    0    0
 17186    0    0    0    0    0    0    0    0    0    0    0    0
 17188    0    0    0    0    0    0    0    0    0    0    0    0
 17189    0    0    0    0    0    0    0    0    0    0    0    0
 17192    0    0    0    0    0    0    0    0    0    0    0    0
 17193    0    0    0    0    0    0    0    0    0    0    0    0
 17196    0    0    0    0    0    0    0    0    0    0    0    0
 17197    0    0    0    0    0    0    0    0    0    0    0    0
 17199    0    0    0    0    0    0    0    0    0    0    0    0
 17201    0    0    0    0    0    0    0    0    0    0    0    0
 17203    0    0    0    0    0    0    0    0    0    0    0    0
 17207    0    0    0    0    0    0    0    0    0    0    0    0
 17208    0    0    0    0    0    0    0    0    0    0    0    0
 17209    0    0    0    0    0    0    0    0    0    0    0    0
 17211    0    0    0    0    0    0    0    0    0    0    0    0
 17231    0 1995   64    0 2095  159    0    0    0   61    0   82
 17244    0    0    0    0    0    0    0    0    0    0    0    0
 17304    0    0    0    0    0    0    0    0    0    0    0    0
 17309   25  397   15  255    0  182   49   77    0   34   25    0
 17316    0    0    0    0    0    0    0    0    0    0    0    0
 17360    0 1475  260   61 2605    0    0  427  242  328  778  456
 17366    0    0    0    0    0    0    0    0    0    0    0    0
 17385    0 1523    0    0 2484    0    0    0    0    0    0    0
 17386    0    0    0    0    0    0    0    0    0    0    0    0
 17387    0    0    0    0    0    0    0    0    0    0    0    0
 17388    0    0    0    0    0    0    0    0    0    0    0    0
 17390    0    0    0    0    0    0    0    0    0    0    0    0
 17392    0    0    0    0    0    0    0    0    0    0    0    0
 17393    0    0    0    0    0    0    0    0    0    0    0    0
 17397    0    0    0    0    0    0    0    0    0    0    0    0
 17424    0    0    0    0    0    0    0    0    0    0    0    0
 17436    0    0    0    0    0    0    0    0    0    0    0    0
 17487    0  192   76    0  620  379    0    0    0  549    0  131
 17511    0    0    0    0    0    0    0    0    0    0    0    0
 17517    0    0    0    0    0    0    0    0    0    0    0    0
 17564    0    0    0    0    0    0    0    0    0    0    0    0
 17565    0    0    0    0    0    0    0    0    0    0    0    0
 17567    0    0    0    0    0    0    0    0    0    0    0    0
 17568    0    0    0    0    0    0    0    0    0    0    0    0
 17569    0    0    0    0    0    0    0    0    0    0    0    0
 17570    0    0    0    0    0    0    0    0    0    0    0    0
 17572    0    0    0    0    0    0    0    0    0    0    0    0
 17573  205 1071  493  311 1988  276   57  544  214  188 1282  319
 17574    0    0    0    0    0    0    0    0    0    0    0    0
 17576    0    0    0    0    0    0    0    0    0    0    0    0
 17580    0    0    0    0    0    0    0    0    0    0    0    0
